City,Latitude,Longitude,Max Temperature (°F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country Code,Date & Time
avarua,-21.2078,-159.775,84.2,79,63,8.05,CK,1612824004
redcliffe,-27.2307,153.0973,78.01,57,20,12.66,AU,1612824121
cape town,-33.9258,18.4232,70.0,83,20,20.71,ZA,1612823789
hambantota,6.1241,81.1185,76.37,75,96,19.06,LK,1612824123
butte,39.6499,-121.5677,60.01,51,1,3.44,US,1612824124
awbari,26.5921,12.7805,53.38,40,94,3.71,LY,1612824126
butaritari,3.0707,172.7902,81.97,83,71,19.84,KI,1612824127
martapura,-3.4167,114.85,77.0,94,20,3.44,ID,1612824128
tuktoyaktuk,69.4541,-133.0374,-41.8,74,1,3.44,CA,1612824129
torbay,47.6666,-52.7314,32.0,100,90,26.46,CA,1612824130
acarau,-2.8856,-40.12,79.74,85,87,11.79,BR,1612824131
altay,47.8667,88.1167,32.56,90,100,1.86,CN,1612823943
la primavera,5.4906,-70.4092,90.32,41,100,6.91,CO,1612824134
harper,4.375,-7.7169,78.6,85,99,4.23,LR,1612824085
mazatlan,23.2167,-106.4167,78.8,24,20,10.36,MX,1612824136
port alfred,-33.5906,26.891,68.0,84,65,3.0,ZA,1612824137
qaanaaq,77.484,-69.3632,20.37,80,99,6.82,GL,1612824138
ilulissat,69.2167,-51.1,24.8,36,0,24.16,GL,1612824139
clyde river,70.4692,-68.5914,8.6,85,20,26.46,CA,1612823964
hithadhoo,-0.6,73.0833,82.42,78,88,10.58,MV,1612823996
airai,-8.9266,125.4092,62.69,100,100,3.22,TL,1612824143
korla,41.7597,86.1469,29.93,83,54,2.1,CN,1612824144
gat,31.61,34.7642,61.0,48,96,5.48,IL,1612824145
la romana,18.4273,-68.9728,80.6,69,20,6.91,DO,1612824146
ushuaia,-54.8,-68.3,64.4,59,0,11.5,AR,1612823901
purificacion,3.8587,-74.9313,83.86,65,90,0.78,CO,1612824149
georgetown,5.4112,100.3354,80.01,83,40,2.3,MY,1612824013
price,39.5994,-110.8107,53.6,15,1,18.41,US,1612824151
khatanga,71.9667,102.5,-16.91,84,24,12.35,RU,1612824152
kimbe,-5.5502,150.1429,86.18,67,28,0.81,PG,1612824154
beberibe,-4.1797,-38.1306,82.4,78,20,10.36,BR,1612823875
barrow,71.2906,-156.7887,-29.2,84,1,11.5,US,1612824002
yulara,-25.2406,130.9889,86.0,23,90,17.27,AU,1612824158
buraydah,26.326,43.975,48.2,100,0,2.3,SA,1612824131
vestmannaeyjar,63.4427,-20.2734,35.76,81,69,14.0,IS,1612824161
beringovskiy,63.05,179.3167,0.84,93,100,6.87,RU,1612824162
salalah,17.0151,54.0924,71.6,73,0,2.3,OM,1612824044
vaini,-21.2,-175.2,80.6,94,90,12.66,TO,1612824164
abha,18.2164,42.5053,50.0,81,40,8.05,SA,1612824131
letlhakane,-21.4167,25.5833,70.75,75,94,9.84,BW,1612824168
manaure,11.7751,-72.4445,81.36,58,0,20.87,CO,1612824169
caloundra,-26.8,153.1333,75.0,82,56,3.0,AU,1612824170
college,64.8569,-147.8028,-5.01,77,1,11.5,US,1612824171
geraldton,-28.7667,114.6,62.6,88,40,9.71,AU,1612823904
medicine hat,50.0501,-110.6683,-7.01,70,75,12.66,CA,1612824173
la ronge,55.1001,-105.2842,-20.2,63,100,16.11,CA,1612824175
ballina,-28.8667,153.5667,77.0,53,34,17.27,AU,1612824176
mataura,-46.1927,168.8643,56.64,95,100,4.21,NZ,1612823897
kodiak,57.79,-152.4072,33.8,64,1,16.11,US,1612824178
manokwari,-0.8667,134.0833,79.18,84,100,1.9,ID,1612824063
mandalgovi,45.7625,106.2708,12.52,80,0,7.29,MN,1612824088
peleduy,59.6289,112.7406,14.04,95,86,3.78,RU,1612824181
leczna,51.3012,22.8814,17.6,86,90,9.22,PL,1612824183
sinnamary,5.3833,-52.95,77.74,79,44,14.45,GF,1612824184
lagoa,39.05,-27.9833,59.5,76,100,26.78,PT,1612824185
haines junction,60.7522,-137.5108,-5.8,54,100,5.75,CA,1612824186
punta arenas,-53.15,-70.9167,66.2,55,0,11.5,CL,1612824001
asosa,10.0667,34.5333,61.5,36,0,5.14,ET,1612824188
sandwick,60.0,-1.25,33.67,83,81,11.32,GB,1612824189
saint-philippe,-21.3585,55.7679,77.0,69,0,8.05,RE,1612824191
saskylakh,71.9167,114.0833,-30.12,84,16,2.84,RU,1612824192
paciran,-6.8767,112.3761,78.22,86,81,9.86,ID,1612824193
banda aceh,5.5577,95.3222,77.92,81,8,8.19,ID,1612824194
palauig,15.435,119.9045,77.68,67,95,4.81,PH,1612824196
west wendover,40.7391,-114.0733,53.6,12,1,5.75,US,1612824004
hatillo,18.4863,-66.8254,78.01,95,11,1.01,PR,1612824198
moosomin,50.1333,-101.6677,-17.59,80,0,17.92,CA,1612824199
port elizabeth,-33.918,25.5701,68.0,83,0,3.44,ZA,1612824200
faanui,-16.4833,-151.75,81.3,77,10,13.76,PF,1612824201
angoche,-16.2325,39.9086,78.48,86,100,7.36,MZ,1612824202
deputatskiy,69.3,139.9,-21.05,87,2,3.38,RU,1612824204
sobolevo,54.4299,31.8996,7.32,92,100,12.03,RU,1612824071
kaduqli,11.0167,29.7167,68.56,25,35,11.5,SD,1612824206
new norfolk,-42.7826,147.0587,57.99,55,48,1.01,AU,1612823896
port hardy,50.6996,-127.4199,37.4,48,20,13.8,CA,1612824000
churapcha,62.0025,132.4325,-23.89,85,100,4.88,RU,1612824209
praia da vitoria,38.7333,-27.0667,60.8,63,40,13.51,PT,1612824210
collie,-33.3667,116.15,55.0,92,75,1.99,AU,1612824211
zheleznodorozhnyy,55.7503,38.0042,1.4,84,40,2.24,RU,1612824197
codrington,-38.2667,141.9667,60.76,68,7,12.35,AU,1612824214
ferrol,43.4832,-8.2369,53.01,78,100,1.99,ES,1612824216
nanning,22.8167,108.3167,57.2,100,90,8.95,CN,1612824217
shache,38.4167,77.2406,28.63,81,2,1.23,CN,1612824218
inyonga,-6.7167,32.0667,65.8,95,100,2.13,TZ,1612824219
sarakhs,36.5449,61.1577,42.8,93,1,4.61,IR,1612824221
saldanha,-33.0117,17.9442,66.2,82,0,14.97,ZA,1612824007
bodden town,19.2833,-81.25,82.4,74,20,12.66,KY,1612824223
chokurdakh,70.6333,147.9167,-12.19,85,0,10.65,RU,1612823909
hovd,48.0056,91.6419,12.54,88,46,1.3,MN,1612824225
faya,18.3851,42.4509,50.0,81,40,8.05,SA,1612823995
colinas,-6.0258,-44.2492,75.52,92,75,2.19,BR,1612824229
pitimbu,-7.4706,-34.8086,80.6,78,20,10.36,BR,1612824230
pilar,-9.5972,-35.9567,77.0,83,0,5.75,BR,1612824231
cherskiy,68.75,161.3,7.9,79,100,6.26,RU,1612824232
kaitangata,-46.2817,169.8464,63.0,88,100,8.01,NZ,1612824233
asfi,32.2994,-9.2372,59.94,87,40,13.33,MA,1612824061
impfondo,1.6381,18.0667,73.81,53,95,2.08,CG,1612824235
kruisfontein,-34.0033,24.7314,63.0,87,0,1.01,ZA,1612824236
hilo,19.7297,-155.09,82.4,47,20,3.44,US,1612823875
las piedras,-34.7264,-56.22,68.0,83,75,16.11,UY,1612824239
east london,-33.0153,27.9116,68.7,77,28,6.89,ZA,1612824240
walvis bay,-22.9575,14.5053,64.4,82,32,12.66,NA,1612824241
cozumel,20.5083,-86.9458,82.4,61,40,13.8,MX,1612824200
salinopolis,-0.6136,-47.3561,79.65,84,55,12.62,BR,1612824188
fairbanks,64.8378,-147.7164,-5.01,77,1,11.5,US,1612824005
kondinskoye,59.6481,67.41,-11.04,90,97,4.32,RU,1612824246
scarborough,54.2797,-0.4044,32.0,82,99,8.01,GB,1612824247
port blair,11.6667,92.75,74.64,76,81,12.28,IN,1612824248
nyurba,63.2842,118.3319,-24.23,86,74,3.56,RU,1612824249
micheweni,-4.9667,39.8333,80.38,83,100,12.35,TZ,1612824251
ribeira grande,38.5167,-28.7,60.48,77,100,16.69,PT,1612824252
nemuro,43.3236,145.575,20.16,88,91,20.4,JP,1612824253
padang,-0.9492,100.3543,75.2,88,40,1.14,ID,1612824254
naravarikuppam,13.1956,80.1742,73.4,83,40,4.83,IN,1612824255
san patricio,28.017,-97.5169,75.2,69,90,16.11,US,1612824256
tawang,27.5833,91.8667,35.08,52,0,6.46,IN,1612824257
olga,43.7444,135.2892,5.05,80,92,11.21,RU,1612824259
avera,33.194,-82.5271,59.0,67,40,4.61,US,1612824260
puerto ayora,-0.7393,-90.3518,80.6,83,75,10.36,EC,1612824261
freeport,40.6576,-73.5832,27.0,54,1,8.05,US,1612824039
castro,-24.7911,-50.0119,62.76,83,8,5.39,BR,1612824265
alofi,-19.0595,-169.9187,86.0,66,75,17.09,NU,1612824267
komsomolskiy,40.4272,71.7189,46.4,76,90,2.3,UZ,1612824269
guerrero negro,27.9769,-114.0611,67.46,45,58,13.27,MX,1612824270
hobyo,5.3505,48.5268,76.87,75,79,21.12,SO,1612824271
saint-georges,12.0564,-61.7485,80.6,74,20,23.02,GD,1612824272
morant bay,17.8815,-76.4093,82.4,74,20,26.46,JM,1612824273
chake chake,-5.2459,39.7666,78.1,87,100,9.13,TZ,1612824274
hofn,64.2539,-15.2082,32.68,89,100,16.69,IS,1612824276
kapaa,22.0752,-159.319,75.99,60,75,14.97,US,1612824277
hanna,51.6334,-111.9018,-14.01,78,41,11.01,CA,1612824278
meulaboh,4.1363,96.1285,76.12,87,2,3.33,ID,1612824279
ketchikan,55.3422,-131.6461,24.8,86,90,3.44,US,1612824280
san policarpo,12.1791,125.5072,77.58,89,100,22.06,PH,1612824281
novikovo,51.1537,37.8879,12.02,87,98,14.74,RU,1612824284
portland,45.5234,-122.6762,46.99,49,90,1.81,US,1612824208
leningradskiy,69.3833,178.4167,-21.98,84,79,10.56,RU,1612824013
krasnoselkup,65.7,82.4667,-8.91,90,60,8.21,RU,1612824290
ancud,-41.8697,-73.8203,77.0,47,0,8.05,CL,1612823996
vardo,70.3705,31.1107,23.0,86,75,13.8,NO,1612824293
dudinka,69.4058,86.1778,-1.21,92,100,11.23,RU,1612824294
mecca,21.4267,39.8261,72.82,35,0,3.53,SA,1612824295
vila franca do campo,37.7167,-25.4333,59.0,94,75,16.11,PT,1612824091
sabha,27.0377,14.4283,55.38,36,100,5.39,LY,1612824297
pisco,-13.7,-76.2167,77.0,69,0,19.57,PE,1612824298
lebu,-37.6167,-73.65,62.2,86,7,9.42,CL,1612824010
tuatapere,-46.1333,167.6833,54.21,93,100,10.27,NZ,1612824301
sioux lookout,50.1001,-91.917,-13.0,48,20,16.11,CA,1612824132
bambui,-20.0064,-45.9769,68.92,84,85,2.37,BR,1612824303
narsaq,60.9167,-46.05,39.2,28,75,37.98,GL,1612824305
fukue,32.6881,128.8419,43.43,67,47,14.83,JP,1612824306
thinadhoo,0.5333,72.9333,82.27,80,88,13.04,MV,1612824307
plotnikovo,55.0247,85.9436,15.8,62,40,22.37,RU,1612824308
rio gallegos,-51.6226,-69.2181,77.0,22,0,12.66,AR,1612824077
kedrovyy,56.1667,91.8167,41.0,38,40,6.71,RU,1612824311
victoria,22.2855,114.1577,64.99,77,100,1.99,HK,1612824149
mount gambier,-37.8333,140.7667,57.2,77,0,13.8,AU,1612824313
mumford,5.2618,-0.759,81.27,84,20,15.35,GH,1612824314
mawlaik,23.6333,94.4167,55.6,64,0,1.59,MM,1612824316
kismayo,-0.3582,42.5454,77.74,83,86,16.37,SO,1612824318
thyolo,-16.0678,35.1405,66.83,100,95,3.91,MW,1612824319
jinji,23.2281,110.8261,58.69,83,100,7.49,CN,1612824320
babu,24.4167,111.5167,54.95,76,100,5.21,CN,1612824321
makakilo city,21.3469,-158.0858,80.6,54,20,11.5,US,1612824322
bambous virieux,-20.3428,57.7575,78.8,83,40,4.61,MU,1612823904
anloga,5.7947,0.8973,82.4,78,20,8.05,GH,1612824325
tallahassee,30.4383,-84.2807,68.0,60,75,6.91,US,1612824326
coquimbo,-29.9533,-71.3436,66.2,68,0,12.66,CL,1612824121
kavieng,-2.5744,150.7967,84.51,73,89,7.9,PG,1612824328
isetskoye,56.4858,65.3226,-11.67,88,100,10.76,RU,1612824329
dicabisagan,17.0818,122.4157,74.59,85,100,13.29,PH,1612824331
kozhva,65.1073,57.0459,-14.12,89,100,5.57,RU,1612824333
sawtell,-30.3833,153.1,70.0,88,75,8.05,AU,1612824334
fortuna,40.5982,-124.1573,52.0,87,1,13.8,US,1612824335
auki,-8.7676,160.7034,83.68,75,86,7.18,SB,1612824337
dondo,-19.6094,34.7431,75.58,94,15,2.82,MZ,1612824339
mesetas,3.3846,-74.0442,79.92,61,96,2.42,CO,1612824340
sakakah,29.9697,40.2064,51.8,71,0,3.44,SA,1612824341
ostrovnoy,68.0531,39.5131,3.67,89,95,21.45,RU,1612824342
esperance,-33.8667,121.9,59.0,94,75,6.91,AU,1612824090
chapais,49.7834,-74.8492,1.4,55,1,5.75,CA,1612824086
ixtapa,20.7,-105.2,75.99,64,1,11.5,MX,1612824347
rio grande,-32.035,-52.0986,66.99,92,80,14.38,BR,1612824139
mareeba,-17.0,145.4333,78.8,94,76,2.71,AU,1612824349
ihosy,-22.4,46.1167,70.09,90,97,2.71,MG,1612824351
vao,-22.6667,167.4833,77.47,80,11,6.89,NC,1612824352
hualmay,-11.0964,-77.6139,73.53,75,100,9.62,PE,1612824354
ponta do sol,32.6667,-17.1,57.99,72,24,1.99,PT,1612824355
troy,42.6056,-83.1499,19.0,73,90,3.44,US,1612824356
madras,13.0878,80.2785,73.4,83,40,7.99,IN,1612824155
coahuayana,18.7333,-103.6833,80.6,54,20,5.26,MX,1612824360
zaria,11.1113,7.7227,68.94,21,1,8.25,NG,1612824361
davila,18.4726,120.5763,77.0,73,20,11.5,PH,1612824362
san cristobal,7.7669,-72.225,87.8,48,40,10.36,VE,1612824363
houma,29.5958,-90.7195,64.99,82,90,9.22,US,1612824290
paamiut,61.994,-49.6678,31.05,86,78,9.22,GL,1612824365
chumikan,54.7183,135.315,-3.55,85,100,22.06,RU,1612824367
birjand,32.8663,59.2211,35.6,69,0,6.91,IR,1612824368
vostok,46.4856,135.8833,-13.85,89,100,6.22,RU,1612824369
mantua,45.1667,10.7833,48.0,89,60,5.99,IT,1612824370
dikson,73.5069,80.5464,-30.91,85,69,13.35,RU,1612824371
antofagasta,-23.65,-70.4,68.0,77,20,16.11,CL,1612824373
hami,42.8,93.45,29.41,80,39,2.82,CN,1612824374
alamos,27.0167,-108.9333,73.99,57,0,5.99,MX,1612824375
medford,42.3265,-122.8756,43.0,70,40,3.44,US,1612824376
yongan,39.6957,113.6871,24.26,74,0,1.48,CN,1612824377
abonnema,4.7084,6.7931,81.21,80,21,8.23,NG,1612824378
bengkulu,-3.8004,102.2655,75.97,75,90,5.79,ID,1612824140
totness,5.8833,-56.3167,77.32,80,77,13.71,SR,1612824381
umm lajj,25.0213,37.2685,72.91,39,0,10.65,SA,1612824382
durango,24.8333,-104.8333,73.13,18,33,11.07,MX,1612824201
zhigalovo,54.8097,105.1578,10.22,93,51,3.65,RU,1612824386
hamilton,39.1834,-84.5333,35.01,49,81,4.0,US,1612824387
salaspils,56.8601,24.3654,15.8,79,75,10.36,LV,1612824389
point pedro,9.8167,80.2333,76.03,70,28,15.01,LK,1612824390
talnakh,69.4865,88.3972,1.8,90,100,8.9,RU,1612824392
macusani,-14.0833,-70.4333,41.45,78,98,7.78,PE,1612824395
kirakira,-10.4544,161.9205,85.53,67,90,7.36,SB,1612824396
upernavik,72.7868,-56.1549,15.3,77,0,5.55,GL,1612824397
basco,20.4487,121.9702,71.69,76,66,30.42,PH,1612824400
evensk,61.95,159.2333,7.72,89,84,29.53,RU,1612824401
tautira,-17.7333,-149.15,86.0,51,40,5.75,PF,1612824402
panguna,-6.3164,155.4848,79.29,80,97,2.55,PG,1612824403
margate,51.3813,1.3862,30.0,76,100,4.0,GB,1612824404
chirilagua,13.2203,-88.1386,87.58,38,0,5.08,SV,1612824405
ibra,22.6906,58.5334,61.14,64,93,4.63,OM,1612824406
los llanos de aridane,28.6585,-17.9182,64.4,63,90,5.75,ES,1612824408
bethel,41.3712,-73.414,25.0,39,1,3.44,US,1612824409
krasnoznamensk,55.5994,37.0386,3.2,78,0,4.47,RU,1612824410
taitung,22.7583,121.1444,64.4,72,75,8.05,TW,1612824411
saint george,37.1041,-113.5841,66.0,14,1,3.31,US,1612824412
ano mera,37.45,25.4,61.0,82,0,18.41,GR,1612824413
ampanihy,-24.7,44.75,75.69,84,100,4.38,MG,1612824414
ejura,7.3856,-1.3562,80.82,66,11,7.96,GH,1612824416
tazovskiy,67.4667,78.7,-13.38,89,76,6.08,RU,1612824417
corner brook,48.9667,-57.9484,32.0,86,90,8.05,CA,1612824418
usinsk,65.9939,57.5281,-15.56,88,100,7.9,RU,1612824419
dallas,32.7668,-96.7836,66.2,63,75,10.36,US,1612824162
hasaki,35.7333,140.8333,33.8,40,20,10.36,JP,1612824421
araouane,18.9048,-3.5265,66.02,22,98,9.95,ML,1612824422
chuy,-33.6971,-53.4616,65.41,89,90,3.91,UY,1612824400
thompson,55.7435,-97.8558,-14.8,70,90,12.66,CA,1612823691
lokosovo,61.1333,74.8167,-4.13,92,94,6.82,RU,1612824426
susanville,40.4163,-120.653,53.6,24,1,3.06,US,1612824428
hailey,43.5196,-114.3153,33.8,44,1,9.22,US,1612824429
carballo,43.213,-8.691,48.99,87,100,5.99,ES,1612824430
banepa,27.6298,85.5214,42.8,87,20,3.44,NP,1612824432
tieli,46.95,128.05,-3.46,91,100,5.75,CN,1612824433
yershov,51.3513,48.2766,-14.13,87,0,7.16,RU,1612824434
kumluca,36.3703,30.2869,58.57,78,93,0.54,TR,1612824321
itoman,26.1247,127.6694,60.8,63,75,13.8,JP,1612824436
talcahuano,-36.7167,-73.1167,64.4,77,90,11.5,CL,1612824260
sao filipe,14.8961,-24.4956,70.2,77,100,11.14,CV,1612824438
provideniya,64.3833,-173.3,5.0,78,90,22.37,RU,1612824409
donskoye,45.4552,41.9741,32.0,86,40,11.18,RU,1612824441
alyangula,-13.8483,136.4192,84.2,84,100,4.61,AU,1612824442
katsuura,35.1333,140.3,37.0,29,16,3.0,JP,1612824444
karratha,-20.7377,116.8463,79.56,72,17,12.57,AU,1612824445
christchurch,-43.5333,172.6333,69.8,49,20,14.97,NZ,1612824268
lompoc,34.6391,-120.4579,60.8,63,1,9.22,US,1612824448
lelystad,52.5083,5.475,21.99,76,100,1.01,NL,1612824449
puerto narino,-3.7703,-70.3831,77.0,100,75,4.61,CO,1612824450
mana,5.6592,-53.7767,77.36,80,58,13.0,GF,1612824451
nantucket,41.2835,-70.0995,24.8,63,1,5.75,US,1612824452
nanortalik,60.1432,-45.2371,29.28,90,85,14.14,GL,1612824453
ossora,59.2353,163.0719,23.47,94,53,4.56,RU,1612824454
dhidhdhoo,6.8833,73.1,80.94,68,58,4.25,MV,1612824456
vilyuysk,63.7553,121.6247,-27.96,85,59,3.31,RU,1612824457
constitucion,-35.3333,-72.4167,63.16,78,12,13.15,CL,1612824447
oriximina,-1.7656,-55.8661,81.41,68,90,2.68,BR,1612824459
lavrentiya,65.5833,-171.0,-3.1,83,100,10.6,RU,1612824460
ikon-khalk,44.3051,41.9142,41.4,69,100,5.3,RU,1612824461
matara,5.9485,80.5353,73.74,88,57,7.38,LK,1612824423
mount isa,-20.7333,139.5,77.0,100,100,4.61,AU,1612824464
kilinochchi,9.3961,80.3982,72.97,76,12,10.36,LK,1612824466
kodinsk,58.6881,99.1844,27.14,94,100,13.42,RU,1612824467
honiara,-9.4333,159.95,81.43,79,100,5.03,SB,1612824468
amahai,-3.3333,128.9167,84.0,90,88,3.83,ID,1612824469
montalvo,-1.8,-79.3333,82.99,85,98,1.41,EC,1612824471
yatou,37.15,122.3833,29.25,89,0,6.26,CN,1612824472
careiro da varzea,-3.2003,-59.8119,82.4,78,20,3.44,BR,1612824473
samdrup jongkhar,26.9167,91.6167,52.66,43,0,4.83,BT,1612824474
luanda,-8.8368,13.2343,78.06,78,91,3.85,AO,1612824356
sitka,57.0531,-135.33,24.8,54,90,10.36,US,1612824476
henties bay,-22.116,14.2845,65.88,82,58,10.98,NA,1612824478
arklow,52.7931,-6.1414,33.01,76,93,8.01,IE,1612824479
manakara,-22.1333,48.0167,79.14,84,100,7.92,MG,1612824481
marawi,7.9986,124.2928,75.0,93,92,5.99,PH,1612824483
praia,14.9215,-23.5087,68.0,77,90,18.41,CV,1612824450
bathurst,-33.4166,149.5806,66.99,67,67,3.0,AU,1612824341
puerto el triunfo,13.2833,-88.55,87.8,51,20,6.91,SV,1612824488
nisia floresta,-6.0911,-35.2086,82.4,74,20,12.66,BR,1612824489
grand-lahou,5.1367,-5.0242,79.09,88,75,7.4,CI,1612824490
ola,59.5833,151.2833,8.28,92,100,12.48,RU,1612824265
beipiao,41.7919,120.7792,15.94,85,0,3.04,CN,1612824492
ulmu,44.95,27.3167,50.49,84,91,15.97,RO,1612824493
kiruna,67.8557,20.2251,17.6,86,90,2.3,SE,1612824494
honningsvag,70.9821,25.9704,23.0,68,40,23.02,NO,1612824496
la orilla,17.9833,-102.2333,79.72,64,0,9.42,MX,1612824207
panji,-7.7253,114.0995,76.37,88,97,3.2,ID,1612824498
marsh harbour,26.5412,-77.0636,75.7,84,15,10.18,BS,1612824499
qasigiannguit,68.8193,-51.1922,24.8,36,0,24.16,GL,1612824500
aksha,50.2814,113.2867,6.26,90,24,3.89,RU,1612824501
severo-kurilsk,50.6789,156.125,21.42,89,26,3.06,RU,1612824503
puerto escondido,15.85,-97.0667,86.0,66,20,5.75,MX,1612824371
boa esperanca,-21.09,-45.5658,65.89,89,65,5.35,BR,1612824473
pouembout,-21.1333,164.9,83.55,64,0,5.61,NC,1612824506
jacqueville,5.2052,-4.4146,80.6,100,20,4.61,CI,1612824507
ierissos,40.4,23.8833,53.01,79,23,1.99,GR,1612824508
nizhniy odes,63.6445,54.856,-14.42,87,100,8.99,RU,1612824509
tasiilaq,65.6145,-37.6368,23.0,54,90,11.5,GL,1612824400
ludza,56.55,27.7167,8.89,95,100,7.43,LV,1612824512
grand gaube,-20.0064,57.6608,75.0,84,3,1.99,MU,1612824513
ugoofaaru,5.6667,73.0,81.27,69,54,6.49,MV,1612824514
axim,4.8699,-2.2405,80.04,86,19,8.9,GH,1612824515
san francisco,37.7749,-122.4194,59.0,67,75,8.05,US,1612824487
cleveland,41.4995,-81.6954,25.0,63,90,5.75,US,1612824517
nong kung si,16.65,103.3,69.8,94,75,3.44,TH,1612824519
bocos,16.9265,121.0573,61.61,93,95,2.73,PH,1612824520
ende,-8.8432,121.6623,79.84,76,100,2.75,ID,1612824521
yoichi,43.2039,140.7703,21.2,73,75,17.27,JP,1612824330
george,-33.963,22.4617,62.6,94,0,2.3,ZA,1612824524
luwuk,-0.9516,122.7875,78.21,74,99,1.88,ID,1612824525
jiamusi,46.8333,130.35,-10.16,87,0,9.64,CN,1612824526
luderitz,-26.6481,15.1594,71.15,54,0,20.67,NA,1612824397
verkhneyarkeyevo,55.4505,54.3145,-17.79,86,97,13.71,RU,1612824529
edenderry,53.3453,-7.0497,33.01,87,49,7.0,IE,1612824531
zeya,53.75,127.2667,-13.94,82,4,0.72,RU,1612824532
skjervoy,70.0311,20.9714,26.2,89,100,4.68,NO,1612824533
bathsheba,13.2167,-59.5167,76.59,74,61,16.55,BB,1612824534
monaghan,54.25,-6.9667,36.0,74,40,12.66,IE,1612824536
emerald,-23.5333,148.1667,80.6,74,90,16.11,AU,1612824418
kutum,14.2,24.6667,53.83,37,6,9.15,SD,1612824538
kathmandu,27.7167,85.3167,42.8,87,20,3.44,NP,1612824520
cairns,-16.9167,145.7667,78.8,94,99,2.26,AU,1612824279
keti bandar,24.1447,67.4497,68.65,70,98,11.77,PK,1612824541
udachnyy,66.4167,112.4,-26.12,84,51,4.83,RU,1612824543
maceio,-9.6658,-35.7353,77.0,83,0,5.75,BR,1612824415
pabbi,34.0106,71.7989,53.19,43,0,1.3,PK,1612824545
dwarka,22.2394,68.9678,69.17,58,65,12.53,IN,1612824546
iquique,-20.2208,-70.1431,73.4,60,0,19.57,CL,1612824448
pekan,3.4836,103.3996,73.4,94,20,2.3,MY,1612824548
marakkanam,12.2,79.95,72.46,75,11,8.12,IN,1612824549
nome,64.5011,-165.4064,9.0,52,90,6.91,US,1612824552
farmington,36.7281,-108.2187,57.2,9,1,6.91,US,1612824426
half moon bay,37.4636,-122.4286,57.99,87,90,5.75,US,1612824554
miles city,46.4083,-105.8406,-2.2,71,90,12.66,US,1612824555
athikia,37.8167,22.9333,55.99,56,12,4.36,GR,1612824556
dingle,10.9995,122.6711,75.0,93,96,9.01,PH,1612824558
watertown,42.3709,-71.1828,27.0,33,1,3.44,US,1612824559
